Date,Calories (kcal),Heart Points,Heart Minutes,Step count,Distance (m),Average speed (m/s),Max speed (m/s),Min speed (m/s),Move Minutes count,Inactive duration (ms),Walking duration (ms)
8/30/20,1826.221899,19,14,5574,3615.838678,0.859081782,1.910880685,0.24161841,65,78131802,2886672
8/31/20,2034.844054,123,79,12409,9174.336968,0.685815184,2.068243742,0.25701496,109,78166596,5987990
9/1/20,2172.666261,196,110,16980,12920.63943,0.88280257,3.231251478,0.26472947,140,78242115,7742152
9/2/20,2015.899296,108,65,12328,9012.323425,0.827819797,2.043924809,0.267723888,118,80297356,5599273
9/3/20,1718.141276,4,3,2463,1435.964371,0.680443606,1.936504245,0.253538936,25,82262272,1255179
9/4/20,2091.82899,152,89,13771,10465.99098,1.115385124,1.932260752,0.292974651,117,78571317,6858250
9/5/20,1816.664706,72,50,7706,4689.343557,0.81001433,1.814756989,0.328549325,63,83744035,2655965
9/6/20,1651.019757,,,190,78.95161074,0.494373217,0.743231952,0.245514482,1,86195599,204401
9/7/20,1787.975896,31,23,5143,3515.7046,0.464253135,1.843537331,0.250251651,50,83482965,2331790
9/8/20,2033.829015,51,36,10398,7135.344503,0.773207595,1.894917011,0.249309614,121,76439748,5378520
9/9/20,1661.445987,1,1,1122,658.6058432,0.596560482,1.909623265,0.278432846,13,84728404,364078
9/10/20,1703.704372,14,10,2204,1524.165903,0.609700318,1.803377151,0.279581666,24,83213573,1008766
9/11/20,1734.43571,5,5,2998,1895.798119,0.974164184,1.806244493,0.291159421,37,75318818,1366272
9/12/20,1669.946537,5,5,284,89.85932207,0.351209074,0.407622963,0.294795185,15,85500000,
9/13/20,1637.964102,,,152,57.10130572,0.750403561,0.859232843,0.323351294,1,86400000,
9/14/20,1716.952816,1,1,2282,1358.512857,0.601416602,1.358282089,0.250546724,31,85076823,1236654
9/15/20,1646.164241,,,515,210.4572601,0.586895407,1.265524626,0.284241468,4,85494461,128381
9/16/20,1849.791868,28,20,6878,4635.79837,0.808250543,1.948450208,0.252570987,79,71223932,3266556
9/17/20,1717.957386,29,17,3526,2475.703548,0.658776858,1.854694247,0.278432846,31,84815263,1135448
9/18/20,1726.788372,35,19,3483,2510.057728,0.828145541,1.826450825,0.31055972,28,84499391,1324067
9/19/20,1716.159821,14,10,3297,2201.853605,0.900181255,1.779512644,0.278432846,34,78678370,1184639
9/20/20,1637.964106,,,137,36.48009789,0.381498009,0.381498009,0.381498009,,86400000,
9/21/20,2342.445112,247,137,20326,15669.96974,1.347727842,2.524569035,0.261614859,168,75071647,10523897
9/22/20,1958.700216,96,57,8850,6611.957807,0.863834721,1.869348407,0.278589487,73,74171724,5011775
9/23/20,2083.343842,40,28,8850,6040.275457,0.65700614,1.874869466,0.263859302,105,60720005,6946412
9/24/20,1816.857507,33,17,3841,2801.037329,1.036820895,2.508298159,0.25701496,40,79465936,2767470
9/25/20,1994.301251,57,33,5278,3973.95176,0.881663722,1.801057816,0.296848923,45,78163551,5578839
9/26/20,1897.155598,79,47,7007,5343.45243,1.212957109,1.86059618,0.34460032,57,79391153,4057211
